rank_60d,ticker,contract,exchange,last_date,last_close,volatility_20d_pct,volatility_60d_pct,volatility_126d_pct,atr_14_pct,mean_abs_return_60d_pct,max_abs_return_60d_pct,max_drawdown_126d_pct,avg_dollar_volume_20d_m,bybit_turnover_24h_usdt,bybit_open_interest_usdt,bybit_spread_bps,bybit_funding_rate_pct
56,0981.HK,SMICUSDT,HKEX,2026-08-24,66.69999694824219,63.251013080983455,72.37819257282547,65.76996122383316,6.807206778657283,3.6713099320054496,10.224273994696453,-30.64877075863063,6922.349422512634,406738.259,64674.88,11.567379988432375,0.0
57,NOW,NOWUSDT,NYSE,2026-08-21,128.47999572753906,55.01770278303214,70.07653668990103,67.89128732376382,4.877060889377195,3.445092147027863,14.384253570108175,-34.10864401523812,2548.853937591133,298403.3645,1422656.91,4.6511627906978505,0.036266
58,ORCL,ORCLUSDT,NYSE,2026-08-21,146.47000122070312,56.7523921582298,68.235881182327,60.55797776376613,4.811696100516703,3.443218429834275,10.83946879448343,-53.49988155896905,4067.0390775470732,234489.1136,2250593.22,3.4058785463718104,0.006425
59,005380.KS,HYUNDAIUSDT,KRX,2026-08-24,414000.0,68.07380552726623,66.62799920131569,76.34367329377434,6.073126239500352,3.1616063615029026,12.048192771084343,-53.2,271424.92255,82276.3245,314742.29,4.366005608637821,0.0
60,QCOM,QCOMUSDT,NASDAQ,2026-08-21,160.75,47.27331291370463,62.72284078222642,64.69814059620427,4.358216638725237,3.123101378585356,10.978275994038643,-40.978730725654366,1792.0007011197663,64806.2794,979701.74,13.82778126964166,0.03624
61,1024.HK,KUAISHOUUSDT,HKEX,2026-08-24,33.20000076293945,50.696515260670424,62.71286075211844,56.818685667560786,5.62906249744477,2.82022956985379,12.043480251146399,-50.772604593737356,2167.6041741536856,99017.046,142913.44,47.16981132075371,0.0
62,SHOP,SHOPUSDT,NASDAQ,2026-08-21,149.25,80.42791980119392,62.68274320432128,62.83301779104652,4.295081588256569,2.91854539350991,16.98296992954351,-29.406539916570086,1576.7445083504106,121743.2229,877249.48,46.688454612151574,0.024494000000000002
63,NET,NETUSDT,NYSE,2026-08-21,293.1400146484375,58.07385029289925,59.309510619243525,72.81226151778267,5.616454759383842,2.946324659538344,11.99239067142961,-27.259633525244233,1220.9259273381042,343164.3908,88334.16,27.71931625686574,0.0
64,GEV,GEVUSDT,NYSE,2026-08-21,956.8499755859376,53.30050766490967,58.71353602489917,53.90204619271623,5.221873715231222,2.862847881909153,9.074948739636412,-24.570042034006924,2284.0575091589358,742429.3465,237083.28,11.188870240771244,0.191466
65,TSLA,TSLAUSDT,NASDAQ,2026-08-21,362.8599853515625,36.90630604006237,58.18450811690783,49.53803528972628,3.81941188977447,2.590542327461054,14.523677416617442,-33.002444654975626,11524.761084385682,2364171.6647,8470502.95,0.5520744196312644,0.0
66,CRWD,CRWDUSDT,NASDAQ,2026-08-21,191.9499969482422,51.42771583191026,56.62778926461275,54.54109508153133,4.865109556838673,2.726751800103954,12.144107083550226,-17.54605689721782,1554.3949127170563,533998.1785,500283.24,29.35318167522813,0.0
67,AVGO,AVGOUSDT,NASDAQ,2026-08-21,368.4500122070313,44.587456583785496,56.530457612964454,48.89381927929385,4.14701361121374,2.6418960225012302,12.586861258932958,-25.03260679634234,7829.2220772085575,459218.0164,2062090.57,2.188782489741202,0.0
